DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"77,481794800",Interrupt,"0,002100"
"77,481798100",DPC,"0,007900"
"77,962795600",Interrupt,"0,002700"
"77,962799500",DPC,"0,011700"
"77,981795500",Interrupt,"0,002300"
"77,981798900",DPC,"0,007700"
"78,462796100",Interrupt,"0,003000"
"78,462800300",DPC,"0,012100"
"78,481796200",Interrupt,"0,002500"
"78,481800000",DPC,"0,007700"
"78,962796400",Interrupt,"0,002700"
"78,962800200",DPC,
"78,981796600",Interrupt,"0,002300"
"78,981800100",DPC,"0,007600"
"79,462798400",Interrupt,"0,003200"
"79,462802800",DPC,"0,013300"
"79,481797100",Interrupt,"0,002200"
"79,481800400",DPC,"0,007800"
"79,962797400",Interrupt,"0,002800"
"79,962801300",DPC,"0,011900"
"79,981797800",Interrupt,"0,004400"
"79,981804400",DPC,"0,011200"
"80,462798200",Interrupt,"0,003000"
"80,462802400",DPC,"0,012400"
"80,481797900",Interrupt,"0,002200"
"80,481801300",DPC,"0,007700"
"80,962798700",Interrupt,"0,002700"
"80,962802600",DPC,"0,011600"
"80,981798400",Interrupt,"0,002500"
"80,981802100",DPC,"0,010800"
"81,462798700",Interrupt,"0,003300"
"81,462803300",DPC,"0,017400"
"81,481798600",Interrupt,"0,003500"
"81,481822200",DPC,"0,010300"
"81,962799200",Interrupt,"0,002700"
"81,962803000",DPC,"0,011800"
"81,981799200",Interrupt,"0,002700"
"81,981803000",DPC,"0,011000"
"82,462799900",Interrupt,"0,003000"
"82,462804100",DPC,"0,012100"
"82,481799900",Interrupt,"0,002300"
"82,481803400",DPC,"0,007900"
"82,962800200",Interrupt,"0,002800"
"82,962804200",DPC,"0,011600"
"82,981800500",Interrupt,"0,002400"
"82,981804000",DPC,"0,010700"
"83,462800700",Interrupt,"0,002900"
"83,462804800",DPC,"0,012900"
"83,481800700",Interrupt,"0,002300"
"83,481804200",DPC,"0,008500"
"83,962801500",Interrupt,"0,002900"
"83,962805600",DPC,"0,011700"
"83,981801200",Interrupt,"0,002600"
"83,981804900",DPC,"0,010700"
"84,462801900",Interrupt,"0,003100"
"84,462806200",DPC,"0,011700"
"84,481801700",Interrupt,"0,002100"
"84,481805000",DPC,"0,007300"
"84,962802100",Interrupt,"0,002900"
"84,962806100",DPC,"0,011700"
"84,981802100",Interrupt,"0,002500"
"84,981805700",DPC,"0,010800"
"85,462831600",Interrupt,"0,003100"
"85,462860800",DPC,"0,020500"
"85,481803000",Interrupt,"0,002400"
"85,481806500",DPC,"0,008000"
"85,962804400",Interrupt,"0,003500"
"85,962809200",DPC,"0,013000"
"85,981816500",Interrupt,"0,002200"
"85,981825400",DPC,"0,011700"
"86,462803800",Interrupt,"0,002900"
"86,462808000",DPC,"0,011900"
"86,481803600",Interrupt,"0,002600"
"86,481807300",DPC,"0,009500"
"86,962804200",Interrupt,"0,002900"
"86,962808200",DPC,"0,012100"
"86,981803900",Interrupt,"0,002300"
"86,981807400",DPC,"0,008100"
"87,462804500",Interrupt,"0,004700"
"87,462811100",DPC,"0,012600"
"87,481804700",Interrupt,"0,002800"
"87,481808700",DPC,"0,008500"
"87,962804900",Interrupt,"0,003100"
"87,962809200",DPC,"0,012600"
"87,981806000",Interrupt,"0,002300"
"87,981809500",DPC,"0,008200"
"88,462806100",Interrupt,"0,002900"
"88,462810200",DPC,"0,011900"
"88,481805500",Interrupt,"0,002400"
"88,481809100",DPC,"0,008300"
"88,962806000",Interrupt,"0,002800"
"88,962810000",DPC,"0,012500"
"88,981806400",Interrupt,"0,003300"
"88,981811200",DPC,"0,009200"
"89,462806500",Interrupt,"0,003200"
"89,462810800",DPC,"0,016500"
"89,481806500",Interrupt,"0,002200"
"89,481809800",DPC,"0,008900"
"89,962807100",Interrupt,"0,002800"
"89,962811100",DPC,"0,012100"
"89,981806900",Interrupt,"0,003700"
"89,981811800",DPC,"0,011800"
